step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place
0,0.0010134543990716338,0.5,0.0,0.0,-3.2996556758880615,-0.36923378705978394,-3.7295048236846924,0.0,-0.7500113248825073,0.0,-4.368776174157318e-12,-1.4584844443277234e-10,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
1,0.0006920068408362567,0.5,0.0,0.0,-3.257035493850708,-0.0005575485993176699,-0.1012352854013443,0.0,-0.37487080693244934,0.0,-9.118710994626689e-12,-1.4584844443277234e-10,0.0,-0.027907324954867363,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
2,4.59835646324791e-05,0.5,0.0,0.0,-2.6052470207214355,-0.0004817989538423717,-0.04375666379928589,0.0,-0.37488144636154175,0.0,-5.111017511993943e-12,-1.4584844443277234e-10,0.0,-0.06375179439783096,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
3,8.798147973720916e-06,0.5,0.0,0.0,-1.738703966140747,-3.058751826756634e-05,-0.12844952940940857,0.0,-0.3749988079071045,0.0,8.995856143334535e-12,-1.4584844443277234e-10,0.0,-0.020034385845065117,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
4,0.0002831770107150078,0.5,0.0,0.0,-3.2066047191619873,-0.0005047222366556525,-0.19523997604846954,0.0,-0.374953031539917,0.0,1.2666491119861512e-11,-1.4584844443277234e-10,0.0,-0.05716726928949356,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
5,1.8663215087144636e-05,0.5,0.0,0.0,-3.201874256134033,-4.025404268759303e-05,-0.07962954044342041,0.0,-0.3749895393848419,0.0,1.1991941294142716e-11,-1.4584844443277234e-10,0.0,-0.10342283546924591,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
6,0.00010302280861651525,0.5,0.0,0.0,-3.2019636631011963,-0.00025762413861230016,-0.08139944076538086,0.0,-0.37499648332595825,0.0,8.4709001965666e-12,-1.4584844443277234e-10,0.0,-0.16106124222278595,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
7,6.082846084609628e-05,0.5,0.0,0.0,-3.2185702323913574,-0.00020185370522085577,-0.09662411361932755,0.0,-0.37501588463783264,0.0,1.0983244695672578e-11,-1.4584844443277234e-10,0.0,-0.23390169441699982,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
8,0.0001770405942806974,0.5,0.0,0.0,-3.2193362712860107,-0.00025128296692855656,-0.1401890218257904,0.0,-0.375014066696167,0.0,6.0028878569318156e-12,-1.4584844443277234e-10,0.0,-0.3129326105117798,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
9,0.00032235230901278555,0.5,0.0,0.0,-3.21890926361084,-0.00016785034677013755,-0.0798095241189003,0.0,-0.37501439452171326,0.0,2.203519701773904e-12,-1.4584844443277234e-10,0.0,-0.3986915051937103,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
10,0.000308295275317505,0.5,0.0,0.0,-3.2089765071868896,-7.657863898202777e-05,-0.03189607337117195,0.0,-0.37500885128974915,0.0,-2.4007729398228816e-12,-1.4584844443277234e-10,0.0,-0.498465359210968,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
11,0.0003879950672853738,0.5,0.0,0.0,-1.886648178100586,-5.154251994099468e-05,-0.04327118396759033,0.0,-0.375005304813385,0.0,-4.4112435058918376e-12,-1.4584844443277234e-10,0.0,-0.6208268404006958,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
12,0.0005281082121655345,0.5,0.0,0.0,-3.837731122970581,-2.1771926879882812,-0.07765262573957443,0.0,-0.35604003071784973,0.0,-5.941307775619853e-12,-1.4584844443277234e-10,0.0,-0.5136370658874512,0.0,-0.3362402319908142,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.4417279362678528,0.0,35.048702239990234,0.15000000596046448,640.2208251953125
13,0.0029792720451951027,0.5,0.0,0.0,-3.201723098754883,-0.0007282719016075134,-0.14011532068252563,0.0,-0.3762294352054596,0.0,-1.2694026385595691e-11,-1.4584844443277234e-10,0.0,-0.6336719393730164,0.0,-0.3362402319908142,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.012352289631962776,0.0,34.815887451171875,0.15000000596046448,636.0052490234375
14,0.0023383067455142736,0.5,0.0,0.0,-3.231981039047241,-0.0002042886771960184,-0.4774755835533142,0.0,-0.37559235095977783,0.0,-1.94893025329268e-11,-1.4584844443277234e-10,0.0,-0.5191000699996948,0.0,-0.3362402319908142,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.007618657313287258,0.0,34.40550994873047,0.15000000596046448,629.1344604492188
15,0.0027203443460166454,0.5,0.0,0.0,-3.22196626663208,-0.00012156431330367923,-0.13154610991477966,0.0,-0.3730727732181549,0.0,-2.3989810138402845e-11,-1.4584844443277234e-10,0.0,-0.42404717206954956,0.0,-0.3362402319908142,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.004720437340438366,0.0,33.62111282348633,0.15000000596046448,615.3641357421875
16,0.0034255762584507465,0.5,0.0,0.0,-3.2179579734802246,-0.00011431479651946574,-0.18995720148086548,0.0,-0.3752487599849701,0.0,-2.4581239821408474e-11,-1.4584844443277234e-10,0.0,-0.3467051088809967,0.0,-0.3362402319908142,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.007857613265514374,0.0,31.90545082092285,0.15000000596046448,584.365478515625
17,0.00598874082788825,0.5,0.0,0.0,-3.2356302738189697,-0.00018284709949512035,-0.30987662076950073,0.0,-0.3724525570869446,0.0,-2.7807136801505372e-11,-1.4584844443277234e-10,0.0,-0.27921757102012634,0.0,-0.3362402319908142,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.007998567074537277,0.0,27.338796615600586,0.15000000596046448,501.007080078125
18,0.008597045205533504,0.5,0.0,0.0,-3.2040343284606934,-0.0054545714519917965,-0.8667877912521362,0.0,-0.3748958110809326,0.0,-3.215139959822366e-11,-1.4584844443277234e-10,0.0,-0.23522703349590302,0.0,-0.3362402319908142,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
19,0.0039008725434541702,0.5,0.0,0.0,-3.2778985500335693,-0.005509049165993929,-1.1580784320831299,0.0,-0.3749483823776245,0.0,-3.2969623559031547e-11,-1.4584844443277234e-10,0.0,-0.24206741154193878,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.0021238201297819614,0.0,13.14716625213623,0.15000000596046448,2.9366753101348877
20,3.878065399476327e-05,0.5,0.0,0.0,-3.2181735038757324,-0.001205502892844379,-0.4673937261104584,0.0,-0.37500086426734924,0.0,-1.8226194858916855e-11,-1.4584844443277234e-10,0.0,-0.20951633155345917,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.06285297870635986,0.0,27.338790893554688,0.15000000596046448,6.118259429931641
21,9.829914051806554e-05,0.5,0.0,0.0,-3.2011680603027344,-7.21154356142506e-05,-0.11844299733638763,0.0,-0.375005304813385,0.0,-1.2146221528563927e-12,-1.4584844443277234e-10,0.0,-0.15716035664081573,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.16001002490520477,0.0,31.90545082092285,0.15000000596046448,7.16862154006958
22,6.424538878491148e-05,0.5,0.0,0.0,-3.202759027481079,-0.0004933913005515933,-0.04354390501976013,0.0,-0.3750123083591461,0.0,9.31503572193515e-12,-1.4584844443277234e-10,0.0,-0.11472747474908829,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.15142174065113068,0.0,33.62111282348633,0.15000000596046448,7.589167594909668
23,4.651287235901691e-05,0.5,0.0,0.0,-3.2128989696502686,-0.0002733908186201006,-0.01896117813885212,0.0,-0.37501925230026245,0.0,9.231350926730553e-12,-1.4584844443277234e-10,0.0,-0.07845153659582138,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.13655760884284973,0.0,34.40550994873047,0.15000000596046448,7.80095100402832
24,4.4843327486887574e-05,0.5,0.0,0.0,-3.2295007705688477,-0.000185512617463246,-0.023539144545793533,0.0,-0.3750190734863281,0.0,1.1387327712719664e-11,-1.4584844443277234e-10,0.0,-0.05008735880255699,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.11499182879924774,0.0,34.815887451171875,0.15000000596046448,7.928862571716309
