step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,2.218309964518994e-05,0.5,0.0,0.0,-3.4788198471069336,-0.003098821733146906,-2.3129992485046387,0.0,-0.37501826882362366,0.0,1.708803064326414e-11,-1.0671778044590852e-10,0.0,-0.06910824775695801,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,5.671532687934189e-12,9.056044109057027e-12,3.6653111101792035e-11,3.6328457603262976e-11,-4.6204765707935636e-11,0.0,0.0,0.0012471973896026611,1.9677371978759766,-0.01067739725112915,0.04560202732682228,-0.0029025860130786896,-0.9615243077278137,-2.1343555450439453,0.0,0.0,-0.005298775155097246,0.0035055000334978104,0.025987105444073677,-0.07117094099521637,-0.03149197995662689,0.16239625215530396,0.004402434453368187,0.015141874551773071,0.041255008429288864,0.22410264611244202,-0.37530195713043213,-0.20590494573116302,0.38201218843460083,0.02442029118537903,-0.4089488387107849,-0.09626810997724533,11.021409034729004,-10.47148323059082,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.3708470911951736e-05,0.5,0.0,0.0,-4.806697845458984,-0.00025188428116962314,-0.2091982662677765,0.0,-0.375000536441803,0.0,3.82928376507774e-11,-1.0671778044590852e-10,0.0,-0.16556084156036377,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,5.287659199382233e-12,8.746795822356379e-12,3.634386194772965e-11,3.5705733508750725e-11,-4.582089221938368e-11,0.0,3.0924901853711384e-13,0.13906310498714447,1.7022427320480347,-0.04591955244541168,0.046938952058553696,0.0025855451822280884,-1.0402971506118774,-2.1343555450439453,0.0,0.0,0.008170926943421364,0.011383246630430222,0.06652593612670898,-0.1473880261182785,-0.06993687152862549,0.23615072667598724,0.0019713295623660088,0.05879472568631172,0.09157407283782959,0.19202089309692383,-0.4172804355621338,-0.1450585424900055,0.4151582717895508,-0.042301326990127563,-1.0989001989364624,-0.1294095516204834,8.39807415008545,-6.78898286819458,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.193909156427253e-05,0.5,0.0,0.0,-4.806379318237305,-0.00013881850463803858,-0.2689996063709259,0.0,-0.3749839961528778,0.0,5.62538800263912e-11,-1.0671778044590852e-10,0.0,-0.2817007005214691,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,4.7069865366511365e-12,8.825699719661184e-12,3.5787425106681425e-11,3.4712961671790055e-11,-4.524021782192911e-11,0.0,2.3034512123230877e-13,0.022433027625083923,1.9566986560821533,-0.08924583345651627,0.15486447513103485,-0.008940916508436203,-0.998510479927063,-2.1343555450439453,0.0,0.0,0.026050837710499763,0.04127369076013565,0.1017427071928978,-0.2395191341638565,-0.11250818520784378,0.32314324378967285,0.00573907233774662,0.05169486999511719,0.10444384068250656,0.22816188633441925,-0.40572699904441833,-0.22320929169654846,0.4019378125667572,-0.039982859045267105,-1.0617221593856812,-0.26237747073173523,3.5292937755584717,-5.00688362121582,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.81097049487289e-06,0.5,0.0,0.0,-4.46440315246582,-6.278627552092075e-05,-0.03477892652153969,0.0,-0.37500128149986267,0.0,6.063183982663034e-11,-1.0671778044590852e-10,0.0,-0.4256969392299652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,3.5466855147214815e-12,9.73629510347962e-12,3.5018241778539405e-11,3.3389270515105096e-11,-4.407991679999945e-11,0.0,-6.802506149518328e-13,-0.17434999346733093,2.0977859497070312,0.009073495864868164,0.12359276413917542,0.026031959801912308,-0.9869717359542847,-2.1343555450439453,0.0,0.0,0.036772266030311584,0.04767346382141113,0.14846181869506836,-0.30052128434181213,-0.18061895668506622,0.39052870869636536,0.0013205595314502716,0.046603329479694366,0.03344473987817764,0.22888855636119843,-0.3757007122039795,-0.31085091829299927,0.44031715393066406,-0.011636758223176003,-0.8457978963851929,-0.34988030791282654,2.1524574756622314,-6.242980003356934,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0680337658850476e-05,0.5,0.0,0.0,-4.119054317474365,-0.001112006139010191,-0.07699079811573029,0.0,-0.37502411007881165,0.0,6.212428488305832e-11,-1.0671778044590852e-10,0.0,-0.5873884558677673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,2.725619209498209e-12,1.0118336724040944e-11,3.399051179409085e-11,3.1686611667858244e-11,-4.325885136213792e-11,0.0,-1.062293373925438e-12,-0.11527999490499496,1.6441164016723633,0.17482943832874298,0.21293281018733978,-0.04793987795710564,-0.9661009907722473,-2.1343555450439453,0.0,0.0,0.05686378479003906,0.0614638552069664,0.1899438500404358,-0.4000042676925659,-0.23464326560497284,0.46655145287513733,0.0059165265411138535,0.1501472294330597,0.06212102249264717,0.1743001788854599,-0.4251253306865692,-0.23139357566833496,0.4018075168132782,0.027418244630098343,-0.8659718632698059,-0.27809932827949524,2.0743632316589355,-9.015600204467773,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.5505142932379385e-06,0.5,0.0,0.0,-3.21579647064209,-9.972518455469981e-05,-0.09539595991373062,0.0,-0.3750056326389313,0.0,6.337919078447385e-11,-1.0671778044590852e-10,0.0,-0.6236103773117065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,7.451371984712463e-12,1.0065252450952578e-11,3.11960249299581e-11,2.969805651398261e-11,-4.7984602402628695e-11,0.0,-1.0092080166348993e-12,-0.09889290481805801,2.302673101425171,0.013584569096565247,0.2641642987728119,0.03928116336464882,-0.9300599694252014,-2.1343555450439453,0.0,0.0,0.0884961411356926,0.0650961771607399,0.2338647097349167,-0.4680604338645935,-0.29531461000442505,0.3866506516933441,0.00542149692773819,0.13072048127651215,0.09644702821969986,0.2108597755432129,-0.3503875732421875,-0.32563623785972595,-0.3631252348423004,0.048397716134786606,-0.6874719262123108,-0.4304341971874237,-1.0023207664489746,-9.151777267456055,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0003519564925227314,0.5,0.0,0.0,-3.241492509841919,-0.0022809631191194057,-0.027233218774199486,0.0,-0.37484925985336304,0.0,5.47833375885709e-11,-1.0671778044590852e-10,0.0,-0.6446961760520935,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.1477110928304057e-11,1.010710178744878e-11,2.8410005251111592e-11,2.728115303107792e-11,-5.2010343948305504e-11,0.0,-1.0510571362906673e-12,0.11360327899456024,1.09844970703125,0.004539698362350464,0.2469954937696457,-0.0049296654760837555,-0.9927192330360413,-2.1343555450439453,0.0,0.0,0.10905715823173523,0.08162324875593185,0.27952152490615845,-0.5268945693969727,-0.3465694785118103,0.30631160736083984,0.0027687465772032738,0.19773511588573456,0.03263695165514946,0.16796660423278809,-0.16235700249671936,-0.1805107444524765,-0.44916534423828125,0.024640275165438652,-0.5462587475776672,-0.43803784251213074,-1.4148894548416138,-7.560202598571777,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015498466789722443,0.5,0.0,0.0,-1.739804983139038,-0.0017441544914618134,-0.029865575954318047,0.0,-0.3747584819793701,0.0,3.3436330093561395e-11,-1.0671778044590852e-10,0.0,-0.646855354309082,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.1268588492874265e-11,1.0941062292268988e-11,2.5357743682619116e-11,2.4384379931907674e-11,-5.180182324759919e-11,0.0,-1.8850177495310927e-12,-0.1269015073776245,-0.3047853708267212,0.030529335141181946,0.22719170153141022,0.028173785656690598,-0.9997603297233582,-2.1343555450439453,0.0,0.0,0.14061464369297028,0.08366401493549347,0.2693805694580078,-0.5173296332359314,-0.3534442186355591,0.29476839303970337,-0.0036950474604964256,0.1744949072599411,-0.05038626119494438,-0.01316794753074646,0.14164893329143524,-0.07680623978376389,-0.03622575104236603,-0.03459083288908005,-0.3822900056838989,-0.44863221049308777,0.30538690090179443,-7.574653625488281,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.06802599877119064,0.5,0.0,0.0,-3.2028756141662598,-9.47616426856257e-05,-1.004014253616333,0.0,-0.3749863803386688,0.0,9.997650493934196e-13,-1.0671778044590852e-10,0.0,-0.6688432097434998,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,6.769824284491577e-12,1.2365048221441022e-11,2.2197145163604937e-11,2.1029449015497192e-11,-4.7303057304493024e-11,0.0,-3.3090041123839953e-12,-0.04967138171195984,-0.983705997467041,0.016701489686965942,0.24811191856861115,0.022941995412111282,-0.9262410402297974,-2.1343555450439453,0.0,0.0,0.16778816282749176,0.08194069564342499,0.26061493158340454,-0.48657476902008057,-0.3534763753414154,0.3752234876155853,0.00680951401591301,0.1918659210205078,-0.010982495732605457,-0.1081545278429985,0.24956443905830383,0.07238596677780151,0.43122002482414246,-0.0038649917114526033,-0.37945058941841125,-0.34932270646095276,8.49679183959961,-13.344613075256348,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09723135828971863,0.5,0.0,0.0,-3.2007675170898438,-0.00019989375141449273,-0.017533864825963974,0.0,-0.3750048875808716,0.0,-2.0408695566853652e-11,-1.0671778044590852e-10,0.0,-0.6844982504844666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.830469803509871e-12,1.3884490779325631e-11,1.905221466702578e-11,1.725792425633088e-11,-4.2363699354064366e-11,0.0,-4.828446236587736e-12,-0.1908339560031891,-1.2531417608261108,0.11883644759654999,0.22794152796268463,0.031629372388124466,-0.9450785517692566,-2.1343555450439453,0.0,0.0,0.21200209856033325,0.08270777761936188,0.23759864270687103,-0.4320236146450043,-0.3525749444961548,0.45466873049736023,0.001539040356874466,0.17641325294971466,-0.00945084448903799,-0.16008548438549042,0.24017229676246643,0.041483134031295776,0.39552831649780273,-0.04098028689622879,-0.32277733087539673,-0.3312588632106781,7.1784868240356445,-13.453792572021484,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
