step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],policy[29],policy[30],policy[31],policy[32],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31],critic[32],critic[33],critic[34],critic[35]
0,0.9937646985054016,0.5,0.0,0.0,-3.277284622192383,-0.20512598752975464,-10.168346405029297,0.0,-0.3748798966407776,0.0,6.464383065299395e-13,-1.7995565974870953e-12,0.0,-0.051899172365665436,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.11984027922153473,-0.08005870133638382,-0.07863660901784897,0.0025667399168014526,0.003866814076900482,-0.9582439661026001,-0.035991132259368896,0.0,0.0,0.007166044786572456,-0.008918991312384605,-0.0076741743832826614,-0.010229688137769699,0.006133917719125748,0.15591248869895935,-0.00582331046462059,-0.0078016044571995735,-0.017906775698065758,0.04510672762989998,0.016842830926179886,-0.04735734686255455,0.38242045044898987,0.027638304978609085,0.05753946304321289,-0.07635641098022461,21.22390365600586,-23.798561096191406,0.23344536125659943,0.972369909286499,0.14293961226940155,-0.3678837716579437,0.07988005131483078,0.001771688461303711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.7577114701271057,0.5,0.0,0.0,-3.403278350830078,-0.0015574261778965592,-3.3373918533325195,0.0,-0.3750532865524292,0.0,8.223116632066763e-12,-1.7995565974870953e-12,0.0,-0.09565050899982452,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.12236346304416656,0.7519239187240601,-0.10918962210416794,0.009907986968755722,0.01782556250691414,-1.0065304040908813,-0.035991132259368896,0.0,0.0,-0.0002448614686727524,0.00031187012791633606,0.005992580205202103,-0.030868882313370705,-0.015102025121450424,0.2381824254989624,-0.003089302685111761,0.0030725838150829077,-0.016888394951820374,0.03122531808912754,-0.20154348015785217,-0.02603086270391941,0.4163365960121155,0.03381700441241264,-0.22626911103725433,0.03805287182331085,30.074647903442383,-39.776981353759766,0.3826834261417389,0.9238795638084412,0.16469594836235046,-0.36629992723464966,0.07597465813159943,0.008246302604675293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.4156438708305359,0.5,0.0,0.0,-3.283433198928833,-0.0003690213488880545,-1.3536416292190552,0.0,-0.3750138282775879,0.0,2.3976163068817335e-11,-1.7995565974870953e-12,0.0,-0.1823195517063141,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,-0.18946097791194916,1.362459659576416,-0.09309498220682144,0.010230142623186111,-0.04657726734876633,-1.0469948053359985,-0.035991132259368896,0.0,0.0,0.027569865807890892,0.009104976430535316,0.051692113280296326,-0.10084434598684311,-0.04930514097213745,0.3177378177642822,-0.003225097432732582,0.09905624389648438,0.01465144194662571,0.15064702928066254,-0.4408603310585022,-0.10868241637945175,0.4252736568450928,-0.01398033183068037,-0.3705950379371643,-0.06021475791931152,29.42957878112793,-51.39238357543945,0.5224985480308533,0.8526401519775391,0.16513511538505554,-0.360024094581604,0.08544065058231354,0.01858067512512207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.45314836502075195,0.5,0.0,0.0,-3.2512924671173096,-7.953729073051363e-05,-0.49546313285827637,0.0,-0.3750055432319641,0.0,3.818630481267071e-11,-1.7995565974870953e-12,0.0,-0.28998059034347534,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.10874573886394501,1.4129979610443115,0.1900387853384018,0.09255877137184143,0.024773012846708298,-0.9528630375862122,-0.035991132259368896,0.0,0.0,0.02535143308341503,0.016368038952350616,0.07040378451347351,-0.1936796009540558,-0.06749999523162842,0.38522374629974365,-0.007925562560558319,0.11772578209638596,0.045811641961336136,0.11162590980529785,-0.3523365557193756,-0.08647260814905167,0.38497820496559143,0.03845354542136192,-0.43779557943344116,-0.08637405931949615,25.644067764282227,-57.326271057128906,0.649448037147522,0.760405957698822,0.1611236333847046,-0.35081225633621216,0.09959106147289276,0.03278270363807678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.509479820728302,0.5,0.0,0.0,-3.207420825958252,-9.811016934690997e-05,-0.17336075007915497,0.0,-0.3750026822090149,0.0,4.236672124235952e-11,-1.7995565974870953e-12,0.0,-0.41272276639938354,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,-0.013736724853515625,1.1135812997817993,-0.08273231983184814,0.07760225236415863,-0.01961946301162243,-0.9800810217857361,-0.035991132259368896,0.0,0.0,0.04446358233690262,0.03026249073445797,0.10281448066234589,-0.27017003297805786,-0.06525477766990662,0.4765285551548004,-0.0006132582202553749,0.08785691112279892,0.009977198205888271,0.11950542777776718,-0.3931722939014435,-0.06390660256147385,0.3608348071575165,-0.03347195312380791,-0.46994900703430176,-0.08162081241607666,24.891023635864258,-61.421138763427734,0.760405957698822,0.649448037147522,0.15513843297958374,-0.3389316201210022,0.11664262413978577,0.05078718066215515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.6527884602546692,0.5,0.0,0.0,-3.2030186653137207,-0.0007523396052420139,-0.0833527147769928,0.0,-0.3749661445617676,0.0,3.7765703758685376e-11,-1.7995565974870953e-12,0.0,-0.5506500601768494,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.17939375340938568,0.843758761882782,-0.10922258347272873,0.09579528868198395,0.04558229073882103,-1.0137743949890137,-0.035991132259368896,0.0,0.0,0.06854019314050674,0.03388899564743042,0.11836696416139603,-0.3536131978034973,-0.08662828803062439,0.5448611974716187,0.00922345370054245,0.09339233487844467,0.005449736025184393,0.09122004359960556,-0.39783796668052673,-0.015863994136452675,0.425203412771225,0.017580552026629448,-0.5016152262687683,-0.07384490966796875,22.845619201660156,-63.45842361450195,0.8526401519775391,0.522498607635498,0.147605299949646,-0.3243652582168579,0.13670386373996735,0.07249835133552551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.720051646232605,0.5,0.0,0.0,-3.208034038543701,-0.0005924981669522822,-0.051191844046115875,0.0,-0.37492048740386963,0.0,3.217618185780147e-11,-1.7995565974870953e-12,0.0,-0.7037677764892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,-0.16142764687538147,0.7741551399230957,0.1327657550573349,0.11918149888515472,0.0087127685546875,-0.9486868977546692,-0.035991132259368896,0.0,0.0,0.11025397479534149,0.050895482301712036,0.14485293626785278,-0.4102664589881897,-0.06824435293674469,0.6363873481750488,-0.006462772376835346,0.1474868357181549,0.06972550600767136,0.09657824039459229,-0.35697779059410095,0.04767534136772156,0.4201016128063202,-0.017093969509005547,-0.5462911128997803,-0.08389532566070557,21.825687408447266,-65.4775390625,0.9238795638084412,0.3826834261417389,0.1415896862745285,-0.3072237968444824,0.1567961573600769,0.09791001677513123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.6392752528190613,0.5,0.0,0.0,-3.2048799991607666,-0.0003723718982655555,-0.021675696596503258,0.0,-0.37499672174453735,0.0,2.949173544264383e-11,-1.7995565974870953e-12,0.0,-0.888888418674469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.1612551063299179,0.9794387221336365,-0.16895313560962677,0.19777482748031616,0.036228787153959274,-0.9630409479141235,-0.035991132259368896,0.0,0.0,0.1339673101902008,0.04665438085794449,0.1608184278011322,-0.4957753121852875,-0.08444550633430481,0.7171505093574524,-0.006447182968258858,0.17687968909740448,0.01869417540729046,0.12134192138910294,-0.41171979904174805,0.04108281061053276,0.39301490783691406,0.009768391028046608,-0.6797756552696228,-0.05275560915470123,21.663557052612305,-64.02066040039062,0.972369909286499,0.2334454208612442,0.13334426283836365,-0.28746497631073,0.1786181628704071,0.1268690824508667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.6315915584564209,0.5,0.0,0.0,-3.2064993381500244,-3.036553789570462e-05,-0.041679348796606064,0.0,-0.37500059604644775,0.0,3.034279077995805e-11,-1.7995565974870953e-12,0.0,-1.1075547933578491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,-0.02884499728679657,1.0096899271011353,0.14665575325489044,0.19689565896987915,-0.0020295679569244385,-1.0242822170257568,-0.035991132259368896,0.0,0.0,0.1705763041973114,0.06494245678186417,0.17645655572414398,-0.5747186541557312,-0.07963955402374268,0.7974373698234558,0.009326379746198654,0.15267232060432434,0.025718403980135918,0.10186948627233505,-0.4109256863594055,0.04817313700914383,0.3693152964115143,-0.009102458134293556,-0.7786869406700134,-0.05636236071586609,19.70398712158203,-63.456546783447266,0.9969173073768616,0.07845908403396606,0.12262145429849625,-0.2650259733200073,0.20324954390525818,0.15919199585914612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.6475260257720947,0.5,0.0,0.0,-3.2021560668945312,-2.904574830608908e-05,-0.2850208878517151,0.0,-0.37499678134918213,0.0,3.1679915635240974e-11,-1.7995565974870953e-12,0.0,-1.363673448562622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,-0.024544045329093933,0.7975631356239319,-0.09222669899463654,0.15169398486614227,0.01605883613228798,-1.0177924633026123,-0.035991132259368896,0.0,0.0,0.21693235635757446,0.07007060199975967,0.20247387886047363,-0.647280752658844,-0.05837754160165787,0.8788151741027832,-0.009396313689649105,0.18027260899543762,0.005211359355598688,0.08146939426660538,-0.3597482144832611,0.055162619799375534,0.38972750306129456,0.01813802681863308,-0.8481394052505493,-0.0482867956161499,14.378341674804688,-63.08953094482422,0.9969173073768616,-0.07845905423164368,0.11155882477760315,-0.2400083839893341,0.22871744632720947,0.1949092596769333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
