step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],policy[29],policy[30],policy[31],policy[32],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31],critic[32],critic[33],critic[34],critic[35]
0,0.21600858867168427,0.5,0.0,0.0,-3.2035152912139893,-0.012204578146338463,-13.89484691619873,0.0,-0.3750026524066925,0.0,4.542024742426598e-12,-4.6755741639481485e-11,0.0,-0.05433313921093941,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.4730525667068264e-11,-5.005961617454702e-11,3.673284246219488e-11,3.6318816010183497e-11,5.473051872817436e-11,0.0,5.005960923565311e-11,-0.18483291566371918,0.4078825116157532,-0.1993582397699356,-0.026082532480359077,-0.024001963436603546,-1.0131951570510864,-0.9351148009300232,0.0,0.0,0.001969495788216591,-0.007324596401304007,0.007490703836083412,-0.02834799885749817,-0.010485238395631313,0.15611779689788818,-8.505303412675858e-05,-0.01399813313037157,0.023539280518889427,0.03462348133325577,-0.09100940078496933,-0.03755945712327957,0.3904429078102112,0.040148038417100906,-0.09453554451465607,-0.011089503765106201,26.821701049804688,-25.885753631591797,0.23344536125659943,0.972369909286499,0.5473052263259888,-0.367328405380249,0.5005961060523987,0.0017362534999847412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.027974648401141167,0.5,0.0,0.0,-3.2491073608398438,-0.00043226085836067796,-4.943211078643799,0.0,-0.37502023577690125,0.0,2.0396594135885238e-11,-4.6755741639481485e-11,0.0,-0.12064769119024277,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.564559230064603e-11,-5.024067273318167e-11,3.6446498596909294e-11,3.567758935507648e-11,5.5645581892305174e-11,0.0,5.0240665794287764e-11,0.1337459832429886,1.437467336654663,-0.1858774721622467,0.020311672240495682,-0.024292703717947006,-0.9586735963821411,-0.9351148009300232,0.0,0.0,0.003937726840376854,0.003955734893679619,0.04214535653591156,-0.08756966143846512,-0.03941655531525612,0.23481318354606628,0.00940682366490364,0.06222276762127876,0.031543947756290436,0.1335064023733139,-0.36107388138771057,-0.12158160656690598,0.4153238832950592,0.02252015471458435,-0.3034588098526001,-0.06153789162635803,34.472015380859375,-46.76032257080078,0.3826834261417389,0.9238795638084412,0.5564558506011963,-0.36446499824523926,0.502406656742096,0.008148521184921265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01467372477054596,0.5,0.0,0.0,-3.278137445449829,-4.94856976729352e-05,-1.3212571144104004,0.0,-0.37500107288360596,0.0,4.045619741988027e-11,-4.6755741639481485e-11,0.0,-0.22589869797229767,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.59814521128299e-11,-5.054890533928713e-11,3.585946817263874e-11,3.4658834829892626e-11,5.5981445173935995e-11,0.0,5.054889840039323e-11,0.05995096266269684,1.9895901679992676,-0.15013080835342407,0.09019602835178375,-0.036392517387866974,-0.9816640019416809,-0.9351148009300232,0.0,0.0,0.01719636470079422,0.016802115365862846,0.06764708459377289,-0.16736792027950287,-0.07708343863487244,0.31515878438949585,-0.00030270032584667206,0.10363175719976425,0.05888383463025093,0.15447132289409637,-0.4020906388759613,-0.1996312141418457,0.42689862847328186,-0.038922566920518875,-0.43550825119018555,-0.17345088720321655,32.98328399658203,-58.15678787231445,0.5224985480308533,0.8526401519775391,0.559814453125,-0.358594685792923,0.5054889917373657,0.018336057662963867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.02299925871193409,0.5,0.0,0.0,-3.2044928073883057,-0.0006919139414094388,-0.43128564953804016,0.0,-0.37499603629112244,0.0,5.183866183533503e-11,-4.6755741639481485e-11,0.0,-0.3491554856300354,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.6340002108079545e-11,-5.0867334649984386e-11,3.5028296235806167e-11,3.3258434201099973e-11,5.633999516918564e-11,0.0,5.086732771109048e-11,-0.028937026858329773,1.674903154373169,0.19386650621891022,0.08214926719665527,0.01892348751425743,-1.0271918773651123,-0.9351148009300232,0.0,0.0,0.026464024558663368,0.028490891680121422,0.09669045358896255,-0.24512232840061188,-0.10139849036931992,0.3864353895187378,0.0013398127630352974,0.10726433992385864,0.015089559368789196,0.1356641948223114,-0.37472638487815857,-0.16063059866428375,0.3918618857860565,0.026978695765137672,-0.4295591115951538,-0.17593631148338318,30.23795509338379,-64.12266540527344,0.649448037147522,0.760405957698822,0.5633999705314636,-0.3502829670906067,0.5086733102798462,0.032340019941329956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.09767080098390579,0.5,0.0,0.0,-3.209937334060669,-0.0012760014506056905,-0.22121484577655792,0.0,-0.37492018938064575,0.0,4.578679102529293e-11,-4.6755741639481485e-11,0.0,-0.47182244062423706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.686786111458453e-11,-5.145692205665853e-11,3.393490349834494e-11,3.145296523232588e-11,5.6867857645137576e-11,0.0,5.1456918587211575e-11,0.18882431089878082,1.1062572002410889,-0.021942421793937683,0.12466120719909668,-0.04443856701254845,-1.022428035736084,-0.9351148009300232,0.0,0.0,0.055422574281692505,0.04608697444200516,0.1385185718536377,-0.31634825468063354,-0.1404699832201004,0.4830097556114197,0.0017503052949905396,0.08319693803787231,0.031138122081756592,0.059554196894168854,-0.24379853904247284,-0.09561264514923096,0.333381712436676,-0.030704427510499954,-0.41070741415023804,-0.1729094386100769,27.804460525512695,-68.14749145507812,0.760405957698822,0.649448037147522,0.5686785578727722,-0.33934903144836426,0.5145691633224487,0.05039474368095398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.2671250104904175,0.5,0.0,0.0,-3.2129313945770264,-0.0006045803893357515,-0.03285321220755577,0.0,-0.37491732835769653,0.0,3.0115250571061125e-11,-4.6755741639481485e-11,0.0,-0.583180844783783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.802691660505843e-11,-5.204059405627959e-11,3.260437406171768e-11,2.9228713199769274e-11,5.8026906196717576e-11,0.0,5.2040587117385684e-11,0.15912504494190216,0.23521171510219574,0.0903826504945755,0.09353706240653992,0.002700161188840866,-0.9523563385009766,-0.9351148009300232,0.0,0.0,0.07015976309776306,0.04102487862110138,0.13739441335201263,-0.34703168272972107,-0.14256346225738525,0.5569083094596863,-0.009815217927098274,0.15420107543468475,0.056602027267217636,0.00298503041267395,-0.11879825592041016,-0.012424120679497719,0.34113380312919617,-0.00665230443701148,-0.38667166233062744,-0.15717273950576782,26.94206428527832,-69.74147033691406,0.8526401519775391,0.522498607635498,0.5802690982818604,-0.3260437250137329,0.5204058885574341,0.07263728976249695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.4135143458843231,0.5,0.0,0.0,-3.2128067016601562,-0.00022987187549006194,-0.059712689369916916,0.0,-0.3749306797981262,0.0,1.3196156840866724e-11,-4.6755741639481485e-11,0.0,-0.6901721954345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.986815904135412e-11,-5.234475353166346e-11,3.108082541336543e-11,2.6592743632147808e-11,5.986815210246021e-11,0.0,5.234475353166346e-11,-0.05403631925582886,-0.0847843736410141,0.12324436008930206,0.15664322674274445,0.03463377431035042,-0.9435935616493225,-0.9351148009300232,0.0,0.0,0.11459454894065857,0.053287163376808167,0.1410984843969345,-0.3595886826515198,-0.12895289063453674,0.6242175698280334,0.0024472251534461975,0.1499977856874466,-0.027242392301559448,-0.017068183049559593,-0.015212404541671276,0.010554909706115723,0.35391050577163696,-0.002544072223827243,-0.36555570363998413,-0.15029528737068176,24.514463424682617,-69.46302795410156,0.9238795638084412,0.3826834261417389,0.5986815094947815,-0.3108082413673401,0.5234475135803223,0.09899696707725525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.5033508539199829,0.5,0.0,0.0,-3.2183403968811035,-0.00019433104898780584,-0.07467108964920044,0.0,-0.37492984533309937,0.0,1.7004897923805773e-12,-4.6755741639481485e-11,0.0,-0.8005691766738892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.238878164088746e-11,-5.212033582502329e-11,2.942064994404525e-11,2.355151317023907e-11,6.238878164088746e-11,0.0,5.212033582502329e-11,-0.05033963918685913,-0.1600128412246704,-0.18330691754817963,0.13597647845745087,-0.01955162174999714,-1.011832594871521,-0.9351148009300232,0.0,0.0,0.13813231885433197,0.052534036338329315,0.13960644602775574,-0.3634856045246124,-0.13495421409606934,0.70208740234375,0.007304461672902107,0.11424370855093002,-0.03206998482346535,-0.037179119884967804,0.06426087766885757,-0.007287648506462574,0.3450227975845337,-0.036781977862119675,-0.3304786682128906,-0.16152557730674744,21.78620719909668,-69.61259460449219,0.972369909286499,0.2334454208612442,0.6238877773284912,-0.29420650005340576,0.521203339099884,0.12940926849842072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.5532041788101196,0.5,0.0,0.0,-3.2097771167755127,-0.0001136725113610737,-0.19491548836231232,0.0,-0.3749583959579468,0.0,-4.54784907649719e-12,-4.6755741639481485e-11,0.0,-0.9231234788894653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.551030551360526e-11,-5.131547964332128e-11,2.7706932234639048e-11,2.0110484458268907e-11,6.551030551360526e-11,0.0,5.131547270442738e-11,-0.10464492440223694,-0.43857210874557495,-0.002709716558456421,0.11889159679412842,0.02093777433037758,-1.0180201530456543,-0.9351148009300232,0.0,0.0,0.1762128323316574,0.05084161460399628,0.12427716702222824,-0.3577471971511841,-0.1336105465888977,0.7923659086227417,0.009799735620617867,0.21196399629116058,-0.029606420546770096,-0.017859889194369316,0.09280550479888916,-0.014181042090058327,0.42090922594070435,0.0057471334002912045,-0.30425459146499634,-0.16555702686309814,17.374914169311523,-69.4355697631836,0.9969173073768616,0.07845908403396606,0.6551030278205872,-0.2770693302154541,0.5131547451019287,0.16381953656673431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.5393180251121521,0.5,0.0,0.0,-3.2039947509765625,-7.408601959468797e-05,-0.6673274040222168,0.0,-0.37498292326927185,0.0,-7.152368107499196e-12,-4.6755741639481485e-11,0.0,-1.0673484802246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.897465931743341e-11,-5.002715255941759e-11,2.5973820316771423e-11,1.628286047661298e-11,6.89746523785395e-11,0.0,5.0027149089970635e-11,0.16157077252864838,-0.49070221185684204,0.1734764128923416,0.08189071714878082,-0.007551640272140503,-0.9501194357872009,-0.9351148009300232,0.0,0.0,0.21368683874607086,0.0382697731256485,0.13009777665138245,-0.34079214930534363,-0.14497479796409607,0.8743061423301697,-0.00492861308157444,0.18253718316555023,0.017170017585158348,0.013867968693375587,0.05515778064727783,-0.022834330797195435,0.3639450967311859,-0.006498059723526239,-0.28448665142059326,-0.1799207329750061,9.206381797790527,-69.35057067871094,0.9969173073768616,-0.07845905423164368,0.6897464990615845,-0.2597382068634033,0.5002714991569519,0.20209579169750214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
