step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],policy[29],policy[30],policy[31],policy[32],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31],critic[32],critic[33],critic[34],critic[35]
0,0.24416781961917877,0.5,0.0,0.0,-6.399999618530273,-0.004568496719002724,-0.22073334455490112,0.0,-0.4002469480037689,0.0,3.747836676420979e-12,-5.00000006675716e-11,4.338744640350342,-4.537195682525635,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-2.923053509309992e-12,-3.3477443039942045e-11,5.463235072666883e-11,4.859033661541723e-11,2.923047004096957e-12,0.0,3.3477439570495093e-11,0.12754319608211517,0.25307220220565796,-0.1220950111746788,0.007440481334924698,0.016067568212747574,-1.0005428791046143,-1.0,0.0,0.0,-0.0040992614813148975,-0.0016470355913043022,0.005238376557826996,-0.2889183461666107,-0.08412221074104309,0.029859477654099464,0.46404895186424255,-0.011076760478317738,0.042497992515563965,-0.0007704615709371865,0.4452694058418274,-0.37442049384117126,-0.43918535113334656,-0.5330219268798828,0.5017338395118713,-1.2899590730667114,-4.397276401519775,-0.9064019322395325,0.23344536125659943,0.972369909286499,0.029230469837784767,-0.5463235378265381,0.3347744047641754,-0.12097898125648499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.2951809763908386,0.5,0.0,0.0,-6.399999618530273,-0.1091337651014328,-0.05341383442282677,0.0,-0.6981318593025208,0.0,7.713987434931902e-12,-5.00000006675716e-11,3.969632387161255,-5.106038570404053,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-6.875359656599578e-12,-2.4340113258247698e-11,5.5244850361013675e-11,4.747818804773374e-11,6.875353585067412e-12,0.0,2.434010805407727e-11,-0.1604241281747818,0.32248711585998535,-0.018489301204681396,0.049405258148908615,0.014625642448663712,-1.035488486289978,-1.0,0.0,0.0,0.004672490060329437,-0.0032993904314935207,0.010783486068248749,-0.19360139966011047,-0.15261809527873993,-0.03359433263540268,0.365311861038208,0.07222199440002441,0.006246733944863081,0.04893062636256218,0.42545634508132935,-0.3584774136543274,0.0061303675174713135,-0.5371960997581482,0.5448565483093262,-1.894086241722107,-6.621584892272949,-1.0707364082336426,0.3826834261417389,0.9238795638084412,0.06875353306531906,-0.5524485111236572,0.24340109527111053,-0.1098574697971344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.3057486414909363,0.5,0.0,0.0,-6.399999618530273,-3.502823528833687e-05,-0.01576317474246025,0.0,-0.6981318593025208,0.0,4.909813441228428e-12,-5.00000006675716e-11,4.607842922210693,-5.426634311676025,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-1.248919891116973e-11,-1.5213221307708302e-11,5.411912237796024e-11,4.731327482576653e-11,1.2489191972275826e-11,0.0,1.521321783826135e-11,-0.10684450715780258,0.22388266026973724,-0.07574810087680817,0.023542772978544235,-0.013231541961431503,-1.032108187675476,-1.0,0.0,0.0,0.024357115849852562,-0.003997838124632835,0.011048953980207443,-0.12970751523971558,-0.23454390466213226,-0.026117676869034767,0.2643658518791199,0.023813879117369652,-0.043313201516866684,0.06926681846380234,0.4479626715183258,-0.4468478858470917,0.019926249980926514,-0.47587332129478455,0.6361915469169617,-1.8371108770370483,-5.565565586090088,-0.4002496302127838,0.5224985480308533,0.8526401519775391,0.12489192187786102,-0.5411912202835083,0.15213218331336975,-0.10820835828781128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.3978726863861084,0.5,0.0,0.0,-3.750121593475342,-0.0013134349137544632,-0.015498421154916286,0.0,-0.6981325149536133,0.0,1.8574447535613103e-12,-5.00000006675716e-11,6.0663275718688965,-5.264403820037842,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-1.7504796223644092e-11,-1.1760355710099812e-11,5.306613481970146e-11,4.4383125646918486e-11,1.7504791019473664e-11,0.0,1.1760353108014598e-11,0.1766749769449234,-0.12132763117551804,-0.08781787008047104,-0.017149019986391068,0.037089135497808456,-1.0212854146957397,-1.0,0.0,0.0,0.04247484356164932,-0.0042851874604821205,0.010990418493747711,-0.04007108137011528,-0.30950212478637695,-0.019144916906952858,0.3294178545475006,0.09211686998605728,0.010191649198532104,-0.0026297152508050203,0.42138251662254333,-0.38838991522789,0.019613564014434814,0.29347851872444153,0.3729534149169922,-1.5975253582000732,-6.364752292633057,0.485440731048584,0.649448037147522,0.760405957698822,0.17504790425300598,-0.5306613445281982,0.11760352551937103,-0.07890686392784119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.4227239191532135,0.5,0.0,0.0,-4.854900360107422,-3.04501718346728e-05,-0.017143622040748596,0.0,-0.6981318593025208,0.0,-2.6412314176049723e-12,-5.00000006675716e-11,7.525880813598633,-5.072192668914795,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-2.2371368646467715e-11,-9.471718548370589e-12,5.197989261240821e-11,4.054780469719965e-11,2.237136170757381e-11,0.0,9.471715078923637e-12,0.05653513967990875,-0.18354153633117676,-0.15052393078804016,0.031317394226789474,0.0021757520735263824,-0.9571400880813599,-1.0,0.0,0.0,0.05036734789609909,-0.0003900546580553055,0.014063578099012375,0.03786185383796692,-0.3966376781463623,-0.031209057196974754,0.4270440340042114,0.1484963744878769,-0.05069678649306297,-0.04250031337141991,0.4118223786354065,-0.44932517409324646,0.011656380258500576,0.49358683824539185,0.2926170527935028,-1.7134181261062622,-6.631348133087158,1.7595694065093994,0.760405957698822,0.649448037147522,0.22371362149715424,-0.5197989344596863,0.09471715241670609,-0.04055368900299072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.39455610513687134,0.5,0.0,0.0,-4.804683208465576,-0.00031894963467493653,-0.014840628020465374,0.0,-0.6981325149536133,0.0,-2.8751549752126238e-12,-5.00000006675716e-11,7.327824115753174,-4.967762470245361,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-2.716863713170259e-11,-7.146764516990922e-12,5.082605170070309e-11,3.653331803743498e-11,2.716863192753216e-11,0.0,7.14676104754397e-12,-0.03232257068157196,-0.17990842461585999,-0.13057686388492584,0.014078479260206223,-0.02852723002433777,-1.0386602878570557,-1.0,0.0,0.0,0.07470420002937317,-0.0037992307916283607,0.01447453536093235,0.10931232571601868,-0.48205849528312683,-0.035507261753082275,0.5283845067024231,0.078545942902565,-0.005255904980003834,0.03662846237421036,0.366755872964859,-0.40443095564842224,0.04656839370727539,0.4588839113712311,0.27172181010246277,-1.5493831634521484,-6.214965343475342,2.8924171924591064,0.8526401519775391,0.522498607635498,0.271686315536499,-0.5082605481147766,0.07146761566400528,-0.0004087984561920166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.18027935922145844,0.5,0.0,0.0,-4.854167461395264,-0.0015248911222442985,-0.049173109233379364,0.0,-0.6981313228607178,0.0,5.109075489062587e-12,-5.00000006675716e-11,3.5194311141967773,-4.879519939422607,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.1078004752993493e-11,-5.342031938332381e-12,4.9316165734447637e-11,3.238826914997439e-11,3.107799781409959e-11,0.0,5.342028902566298e-12,-0.13912612199783325,0.4254252314567566,-0.055280253291130066,-0.008903361856937408,-0.03173983469605446,-0.9867256879806519,-1.0,0.0,0.0,0.11087203025817871,0.0002879630774259567,0.01144188642501831,0.1719292402267456,-0.547741174697876,-0.021579919382929802,0.6263468861579895,0.11710333824157715,-0.024872004985809326,0.04193750023841858,0.24348871409893036,-0.44844767451286316,0.022371167317032814,0.46205684542655945,0.2065751850605011,-1.2304142713546753,-7.364342212677002,4.760640621185303,0.9238795638084412,0.3826834261417389,0.31077998876571655,-0.493161678314209,0.053420290350914,0.04104170203208923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.03819786757230759,0.5,0.0,0.0,-3.891144275665283,-0.0018597228918224573,-0.03917190432548523,0.0,-0.69813072681427,0.0,2.5405811135414957e-11,-5.00000006675716e-11,0.5286173820495605,-4.712571144104004,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.3311735314622837e-11,-4.7102751386807196e-12,4.698479452724946e-11,2.810375543393917e-11,3.3311731845175885e-11,0.0,4.7102729702763746e-12,-0.03666919469833374,1.4389221668243408,0.02273145318031311,0.08242568373680115,0.022155102342367172,-1.0327515602111816,-1.0,0.0,0.0,0.13499709963798523,0.018685972318053246,0.047968193888664246,0.18840862810611725,-0.6402243375778198,-0.03433113917708397,0.7167274951934814,0.16368046402931213,0.030063653364777565,0.14703719317913055,-0.08354903757572174,-0.3560149371623993,0.00859922170639038,0.5152251124382019,0.09252415597438812,-1.0643987655639648,-7.514451503753662,6.7238240242004395,0.972369909286499,0.2334454208612442,0.3331173062324524,-0.46984797716140747,0.04710272699594498,0.08388683199882507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.013347345404326916,0.5,0.0,0.0,-3.262932538986206,-0.00040040453313849866,-0.018015559762716293,0.0,-0.6981313228607178,0.0,4.575980566690063e-11,-5.00000006675716e-11,0.07004641741514206,-4.469581127166748,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.4165874990277345e-11,-5.238903061366429e-12,4.3790981257840755e-11,2.3592355499757467e-11,3.416586805138344e-11,0.0,5.238899591919477e-12,-0.13327357172966003,1.786271095275879,0.0856492668390274,0.06925146281719208,-0.04326130822300911,-1.0447219610214233,-1.0,0.0,0.0,0.1673799306154251,0.015605827793478966,0.07407728582620621,0.15420657396316528,-0.7100235223770142,-0.02826417051255703,0.8036019206047058,0.217294842004776,0.053243305534124374,0.20676171779632568,-0.18447571992874146,-0.37406978011131287,-0.04812748357653618,0.4616320729255676,0.03997913375496864,-0.9650750160217285,-7.9114089012146,8.001069068908691,0.9969173073768616,0.07845908403396606,0.34165868163108826,-0.4379098117351532,0.0523889996111393,0.12900085747241974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.009031808003783226,0.5,0.0,0.0,-3.201050281524658,-7.018219912424684e-05,-0.0003602019278332591,0.0,-0.6981313228607178,0.0,5.571936662063237e-11,-5.00000006675716e-11,0.024570241570472717,-4.21010160446167,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.4332026804806404e-11,-6.392967752399947e-12,3.996839317843559e-11,1.8875801963136318e-11,3.433202333535945e-11,0.0,6.392964716633864e-12,-0.042307257652282715,1.804567575454712,0.1418270319700241,0.13472241163253784,-0.0026511065661907196,-0.9907566905021667,-1.0,0.0,0.0,0.2012057602405548,0.03303873538970947,0.10369045287370682,0.11723814159631729,-0.8080922961235046,-0.018784694373607635,0.9177802205085754,0.2267765998840332,0.07159829139709473,0.15170495212078094,-0.25641757249832153,-0.3754149079322815,0.019481969997286797,0.45526623725891113,-0.005331303924322128,-0.9816701412200928,-7.863194942474365,8.178176879882812,0.9969173073768616,-0.07845905423164368,0.34332022070884705,-0.39968395233154297,0.06392964720726013,0.176166370511055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
