step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place
0,0.00014032336184754968,0.5,0.0,0.0,-3.367583751678467,-0.2411106824874878,-0.8565127849578857,0.0,-0.3750366270542145,0.0,-0.16806915402412415,0.929027795791626,0.0,-0.06738913059234619,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
1,0.0004186296428088099,0.5,0.0,0.0,-3.2047345638275146,-0.0009227131376974285,-0.7150787115097046,0.0,-0.37500980496406555,0.0,-0.3637339472770691,0.929027795791626,0.0,-0.15020915865898132,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
2,0.0020649570506066084,0.5,0.0,0.0,-3.232736110687256,-0.0010359709849581122,-0.31036558747291565,0.0,-0.3749421238899231,0.0,-0.44852373003959656,0.929027795791626,0.0,-0.2372588962316513,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
3,0.021039601415395737,0.5,0.0,0.0,-3.205947160720825,-0.00044294801773503423,-0.14624924957752228,0.0,-0.3749920129776001,0.0,-0.28137555718421936,0.929027795791626,0.0,-0.3111484944820404,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
4,0.08647127449512482,0.5,0.0,0.0,-3.2029662132263184,-9.093876724364236e-05,-0.03821810334920883,0.0,-0.37497591972351074,0.0,-0.0716409683227539,0.929027795791626,0.0,-0.3808492124080658,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
5,0.09376469254493713,0.5,0.0,0.0,-3.20664644241333,-0.00020967556338291615,-0.01543203555047512,0.0,-0.3749443590641022,0.0,0.09058073908090591,0.929027795791626,0.0,-0.4590045213699341,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
6,0.3126896917819977,0.5,0.0,0.0,-3.2171640396118164,-0.00022888793318998069,-0.0017963339341804385,0.0,-0.3750085234642029,0.0,0.2249082326889038,0.929027795791626,0.0,-0.5632993578910828,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
7,0.19089725613594055,0.5,0.0,0.0,-3.204800844192505,-0.0007805750938132405,-0.01449808944016695,0.0,-0.37494176626205444,0.0,0.2895812392234802,0.929027795791626,0.0,-0.6953588724136353,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
8,0.22867797315120697,0.5,0.0,0.0,-3.213780641555786,-0.000474942586151883,-0.014069003984332085,0.0,-0.37500298023223877,0.0,0.32772135734558105,0.929027795791626,0.0,-0.8573874831199646,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
9,0.16487981379032135,0.5,0.0,0.0,-3.205756902694702,-0.0005587270716205239,-0.010696178302168846,0.0,-0.3749963939189911,0.0,0.29167473316192627,0.929027795791626,0.0,-1.0561436414718628,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
10,0.13190621137619019,0.5,0.0,0.0,-3.2026166915893555,-0.00039534823736175895,-0.07403570413589478,0.0,-0.37499475479125977,0.0,0.2648201882839203,0.929027795791626,0.0,-1.2945356369018555,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
11,0.08355728536844254,0.5,0.0,0.0,-3.2071590423583984,-0.00040448165964335203,-0.08858613669872284,0.0,-0.3749289810657501,0.0,0.20666208863258362,0.929027795791626,0.0,-1.56992769241333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
12,0.1927092969417572,0.5,0.0,0.0,-3.2078781127929688,-0.00013019765901844949,-0.26901695132255554,0.0,-0.37500277161598206,0.0,0.2079593688249588,0.929027795791626,0.0,-1.4143813848495483,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
13,0.2938908040523529,0.5,0.0,0.0,-1.6209536790847778,-0.0059500038623809814,-0.03621009364724159,0.0,-0.3818656802177429,0.0,0.2700751721858978,0.929027795791626,0.0,-1.48063325881958,0.0,-2.9209349155426025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005844386760145426,0.0,34.815887451171875,0.15000000596046448,660.1253051757812
14,0.4756234586238861,0.5,0.0,0.0,-3.2183592319488525,-0.0004161701363045722,-0.3409353196620941,0.0,-0.37496548891067505,0.0,0.3859236240386963,0.929027795791626,0.0,-1.3244279623031616,0.0,-2.9209349155426025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008072469383478165,0.0,34.40550994873047,0.15000000596046448,656.6661376953125
15,0.6151912808418274,0.5,0.0,0.0,-3.20088267326355,-0.00010273496445734054,-0.14336822926998138,0.0,-0.3751554787158966,0.0,0.4860776960849762,0.929027795791626,0.0,-1.2031019926071167,0.0,-2.9209349155426025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011570427566766739,0.0,33.62111282348633,0.15000000596046448,646.1517333984375
16,0.6456249952316284,0.5,0.0,0.0,-3.2199866771698,-0.0001978689106181264,-0.24189697206020355,0.0,-0.37258151173591614,0.0,0.5610987544059753,0.929027795791626,0.0,-1.102209448814392,0.0,-2.9209349155426025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01639128476381302,0.0,31.90545082092285,0.15000000596046448,618.1447143554688
17,0.914068341255188,0.5,0.0,0.0,-3.2031073570251465,-3.487285357550718e-05,-0.4317110776901245,0.0,-0.37354010343551636,0.0,0.6472208499908447,0.929027795791626,0.0,-1.025249719619751,0.0,-2.9209349155426025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014005247503519058,0.0,27.338796615600586,0.15000000596046448,533.433837890625
